U_B / V	U_A / V	U_A1 / V
0.00	-0.02	-0.02
0.00	-0.01	-0.01
0.20	-0.02	-0.02
0.35	-0.01	-0.01
0.55	-0.02	-0.02
0.75	-0.01	-0.01
0.95	-0.02	-0.02
1.10	-0.01	-0.01
1.30	-0.02	-0.02
1.50	-0.02	-0.02
1.65	-0.02	-0.02
1.85	-0.02	-0.02
2.05	-0.02	-0.02
2.20	-0.02	-0.02
2.45	-0.02	-0.02
2.60	-0.02	-0.02
2.75	-0.02	-0.02
3.00	-0.01	-0.01
3.15	-0.02	-0.02
3.35	-0.01	-0.01
3.50	-0.02	-0.02
3.70	-0.02	-0.02
3.90	-0.02	-0.02
4.10	-0.01	-0.01
4.25	-0.02	-0.02
4.50	-0.02	-0.02
4.65	-0.02	-0.02
4.85	-0.01	-0.01
5.05	-0.01	-0.01
5.20	-0.01	-0.01
5.40	-0.01	-0.01
5.55	-0.01	-0.01
5.75	0.00	0.00
5.95	0.00	0.00
6.15	0.01	0.01
6.35	0.01	0.01
6.50	0.02	0.02
6.70	0.02	0.02
6.90	0.03	0.03
7.05	0.03	0.03
7.25	0.04	0.04
7.45	0.04	0.04
7.60	0.04	0.04
7.80	0.03	0.03
8.00	0.03	0.03
8.20	0.03	0.03
8.35	0.03	0.03
8.55	0.02	0.02
8.75	0.02	0.02
8.95	0.01	0.01
9.10	0.02	0.02
9.30	0.01	0.01
9.50	0.01	0.01
9.70	0.01	0.01
9.85	0.02	0.02
10.05	0.02	0.02
10.25	0.03	0.03
10.40	0.04	0.04
10.60	0.06	0.06
10.80	0.08	0.08
11.00	0.11	0.11
11.15	0.13	0.13
11.35	0.16	0.16
11.50	0.18	0.18
11.75	0.20	0.20
11.90	0.19	0.19
12.10	0.18	0.18
12.25	0.16	0.16
12.45	0.14	0.14
12.65	0.12	0.12
12.85	0.10	0.10
13.05	0.08	0.08
13.20	0.06	0.06
13.40	0.05	0.05
13.60	0.04	0.04
13.80	0.03	0.03
13.95	0.03	0.03
14.15	0.03	0.03
14.35	0.04	0.04
14.50	0.05	0.05
14.70	0.07	0.07
14.90	0.10	0.10
15.05	0.13	0.13
15.25	0.17	0.17
15.45	0.22	0.22
15.65	0.28	0.28
15.85	0.35	0.35
16.00	0.42	0.42
16.20	0.49	0.49
16.35	0.55	0.55
16.60	0.57	0.57
16.75	0.54	0.54
16.95	0.47	0.47
17.10	0.40	0.40
17.30	0.32	0.32
17.50	0.25	0.25
17.65	0.19	0.19
17.85	0.14	0.14
18.05	0.10	0.10
18.25	0.07	0.07
18.40	0.05	0.05
18.65	0.04	0.04
18.80	0.04	0.04
19.00	0.06	0.06
19.20	0.08	0.08
19.35	0.12	0.12
19.55	0.16	0.16
19.70	0.22	0.22
19.95	0.29	0.29
20.10	0.38	0.38
20.30	0.48	0.48
20.50	0.58	0.58
20.65	0.71	0.71
20.85	0.84	0.84
21.05	0.97	0.97
21.25	1.07	1.07
21.40	1.12	1.12
21.60	1.07	1.07
21.80	0.93	0.93
21.95	0.76	0.76
22.15	0.60	0.60
22.35	0.46	0.46
22.55	0.33	0.33
22.70	0.23	0.23
22.90	0.17	0.17
23.10	0.11	0.11
23.25	0.08	0.08
23.45	0.07	0.07
23.65	0.07	0.07
23.85	0.10	0.10
24.00	0.14	0.14
24.20	0.20	0.20
24.40	0.28	0.28
24.55	0.38	0.38
24.75	0.50	0.50
24.95	0.63	0.63
25.15	0.80	0.80
25.30	0.96	0.96
25.55	1.16	1.16
25.70	1.35	1.35
25.90	1.58	1.58
26.10	1.73	1.73
26.25	1.81	1.81
26.45	1.76	1.76
26.60	1.59	1.59
26.80	1.34	1.34
27.00	1.08	1.08
27.20	0.82	0.82
27.35	0.63	0.63
27.55	0.43	0.43
27.75	0.31	0.31
27.95	0.21	0.21
28.10	0.16	0.16
28.30	0.12	0.12
28.50	0.13	0.13
28.70	0.16	0.16
28.85	0.22	0.22
29.05	0.30	0.30
29.20	0.41	0.41
29.40	0.54	0.54
29.60	0.72	0.72
29.75	0.87	0.87
29.95	1.12	1.12
30.15	1.35	1.35
30.35	1.60	1.60
30.50	1.87	1.87
30.70	2.19	2.19
30.90	2.43	2.43
31.10	2.60	2.60
31.25	2.61	2.61
31.45	2.47	2.47
31.65	2.21	2.21
31.80	1.90	1.90
32.00	1.53	1.53
32.20	1.24	1.24
32.40	0.90	0.90
32.55	0.67	0.67
32.75	0.49	0.49
32.95	0.35	0.35
33.15	0.27	0.27
33.30	0.24	0.24
33.50	0.25	0.25
33.70	0.30	0.30
33.85	0.40	0.40
34.05	0.52	0.52
34.25	0.69	0.69
34.45	0.93	0.93
34.60	1.16	1.16
34.80	1.44	1.44
35.00	1.76	1.76
35.20	2.12	2.12
35.35	2.45	2.45
35.55	2.87	2.87
35.75	3.20	3.20
35.90	3.47	3.47
36.10	3.61	3.61
36.30	3.56	3.56
36.50	3.35	3.35
36.70	3.06	3.06
36.85	2.66	2.66
37.05	2.24	2.24
37.25	1.77	1.77
37.40	1.42	1.42
37.60	1.07	1.07
37.80	0.82	0.82
38.00	0.63	0.63
38.15	0.53	0.53
38.35	0.49	0.49
38.55	0.50	0.50
38.70	0.56	0.56
38.70	0.56	0.56
38.70	0.56	0.56
38.70	0.56	0.56
38.70	0.56	0.56
38.70	0.56	0.56
38.70	0.56	0.56
38.70	0.57	0.57
38.70	0.57	0.57
38.70	0.57	0.57
38.70	0.56	0.56
38.70	0.57	0.57
38.70	0.57	0.57
38.70	0.57	0.57
38.70	0.56	0.56
38.70	0.57	0.57
38.70	0.57	0.57
38.70	0.57	0.57
38.70	0.57	0.57
38.70	0.57	0.57
38.70	0.57	0.57
38.70	0.57	0.57
38.70	0.57	0.57
38.70	0.57	0.57
38.70	0.57	0.57
38.70	0.57	0.57
38.70	0.57	0.57
38.70	0.57	0.57
38.70	0.57	0.57
38.70	0.57	0.57
